Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.8460),tensor(0.8460),0_6_8_3_4_2_1_8_1_6_0_2_7_9,[tensor(0.9330), tensor(0.8770), tensor(0.8750), tensor(0.7500), tensor(0.9010), 0.0, tensor(0.9520), tensor(0.5770), tensor(0.9430), tensor(0.8060)],21,0.0001,0.075
tensor(0.8189),tensor(0.8189),2_1_3_8_4_0_9_3_1_0_9_7_8_5,[tensor(0.9150), tensor(0.9460), tensor(0.8370), tensor(0.6960), tensor(0.8820), tensor(0.5430), 0.0, tensor(0.6500), tensor(0.9550), tensor(0.9460)],21,0.0001,0.075
tensor(0.7950),tensor(0.7950),3_0_9_8_6_2_7_5_8_2_1_4_3_9,[tensor(0.9170), tensor(0.7560), tensor(0.8600), tensor(0.7730), tensor(0.5860), tensor(0.4280), tensor(0.9100), tensor(0.8900), tensor(0.9470), tensor(0.8830)],21,0.0001,0.075
tensor(0.8203),tensor(0.8203),3_1_0_9_7_8_5_2_1_3_8_4_0_9,[tensor(0.9220), tensor(0.9550), tensor(0.8210), tensor(0.6810), tensor(0.8760), tensor(0.5750), 0.0, tensor(0.6540), tensor(0.9520), tensor(0.9470)],21,0.0001,0.075
tensor(0.8088),tensor(0.8088),3_1_7_4_8_9_0_6_9_7_0_2_1_8,[tensor(0.8600), tensor(0.9580), tensor(0.5360), tensor(0.6920), tensor(0.8460), 0.0, tensor(0.6220), tensor(0.8890), tensor(0.9420), tensor(0.9340)],21,0.0001,0.075
tensor(0.8643),tensor(0.8643),4_2_3_0_6_9_1,[tensor(0.8800), tensor(0.9460), tensor(0.8450), tensor(0.6640), tensor(0.8800), 0.0, tensor(0.9190), 0.0, 0.0, tensor(0.9160)],21,0.0001,0.075
tensor(0.7893),tensor(0.7893),5_8_2_1_4_3_9_3_0_9_8_6_2_7,[tensor(0.9000), tensor(0.7350), tensor(0.8740), tensor(0.7680), tensor(0.5350), tensor(0.4490), tensor(0.9120), tensor(0.8960), tensor(0.9340), tensor(0.8900)],21,0.0001,0.075
tensor(0.8957),tensor(0.8957),6_0_4_8_7_2_9,[tensor(0.9010), 0.0, tensor(0.8650), 0.0, tensor(0.8890), 0.0, tensor(0.9190), tensor(0.9010), tensor(0.9210), tensor(0.8740)],21,0.0001,0.075
tensor(0.8132),tensor(0.8132),6_9_7_0_2_1_8_3_1_7_4_8_9_0,[tensor(0.8690), tensor(0.9600), tensor(0.4840), tensor(0.7120), tensor(0.8720), 0.0, tensor(0.6490), tensor(0.8980), tensor(0.9470), tensor(0.9280)],21,0.0001,0.075
tensor(0.8468),tensor(0.8468),8_1_6_0_2_7_9_0_6_8_3_4_2_1,[tensor(0.9130), tensor(0.8820), tensor(0.8700), tensor(0.7790), tensor(0.8990), 0.0, tensor(0.9380), tensor(0.5820), tensor(0.9380), tensor(0.8200)],21,0.0001,0.075
0.4024,0.3997857142857143,[0.349 0.597 0.36  0.134 0.275 0.464 0.449 0.485 0.412 0.466],0.4067142857142857,0.39285714285714285,0_6_8_3_4_2_1_8_1_6_0_2_7_9,3_1_0_9_7_8_5_2_1_3_8_4_0_9,0.0012664794921875,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.4029,0.3992857142857143,[0.349 0.591 0.36  0.134 0.276 0.464 0.449 0.485 0.417 0.462],0.40635714285714286,0.39221428571428574,0_6_8_3_4_2_1_8_1_6_0_2_7_9,3_1_0_9_7_8_5_2_1_3_8_4_0_9,0.00127410888671875,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.4024,0.35825,[0.343 0.35  0.343 0.197 0.386 0.447 0.434 0.295 0.439 0.402],0.35235714285714287,0.36414285714285716,2_1_3_8_4_0_9_3_1_0_9_7_8_5,8_1_6_0_2_7_9_0_6_8_3_4_2_1,0.0012729167938232422,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.4029,0.35817857142857146,[0.342 0.35  0.344 0.197 0.385 0.446 0.435 0.293 0.44  0.402],0.35214285714285715,0.3642142857142857,2_1_3_8_4_0_9_3_1_0_9_7_8_5,8_1_6_0_2_7_9_0_6_8_3_4_2_1,0.0013623237609863281,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.4003,0.39914285714285713,[0.406 0.556 0.401 0.324 0.443 0.238 0.294 0.401 0.369 0.431],0.38485714285714284,0.4134285714285714,3_0_9_8_6_2_7_5_8_2_1_4_3_9,6_9_7_0_2_1_8_3_1_7_4_8_9_0,0.0013988018035888672,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.4014,0.3987857142857143,[0.4   0.558 0.399 0.324 0.441 0.24  0.294 0.403 0.37  0.431],0.38457142857142856,0.413,3_0_9_8_6_2_7_5_8_2_1_4_3_9,6_9_7_0_2_1_8_3_1_7_4_8_9_0,0.0013344287872314453,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.3556,0.43146428571428574,[0.316 0.449 0.345 0.247 0.41  0.185 0.548 0.449 0.465 0.636],0.4102142857142857,0.45271428571428574,5_8_2_1_4_3_9_3_0_9_8_6_2_7,6_0_4_8_7_2_9,0.0012445449829101562,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.3552,0.43114285714285716,[0.316 0.45  0.346 0.245 0.412 0.185 0.542 0.451 0.464 0.636],0.40985714285714286,0.4524285714285714,5_8_2_1_4_3_9_3_0_9_8_6_2_7,6_0_4_8_7_2_9,0.001283407211303711,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.8251111111111111,0.8628571428571429,[0.86  0.959 0.581 0.811 0.852   nan 0.632 0.906 0.942 0.935],0.8628571428571429,3_1_7_4_8_9_0_6_9_7_0_2_1_8,0.0,None,resnet20x4,21,0.0001,0.075
0.8568571428571429,0.9292857142857143,[0.942 0.975 0.887 0.872 0.938   nan 0.949   nan   nan 0.942],0.9292857142857143,4_2_3_0_6_9_1,0.0,None,resnet20x4,21,0.0001,0.075
