Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.4278),tensor(0.4278),0_7_6_8_9,[tensor(0.4190), 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.8060), tensor(0.6340), tensor(0.1050), tensor(0.1750)],21,0.0001,0.075
tensor(0.3973),tensor(0.3973),1_4_5_6_0_7,[tensor(0.0810), tensor(0.7380), 0.0, 0.0, tensor(0.3080), tensor(0.4550), tensor(0.2770), tensor(0.5250), 0.0, 0.0],21,0.0001,0.075
tensor(0.4728),tensor(0.4728),2_5_6_5_4_3,[0.0, 0.0, tensor(0.3760), tensor(0.1290), tensor(0.3470), tensor(0.7280), tensor(0.7840), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.4818),tensor(0.4818),3_5_1_3_5_4,[0.0, tensor(0.5540), 0.0, tensor(0.5840), tensor(0.0600), tensor(0.7290), 0.0, 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.5888),tensor(0.5888),3_5_4_3_5_1,[0.0, tensor(0.7210), 0.0, tensor(0.5850), tensor(0.3050), tensor(0.7440), 0.0, 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.4050),tensor(0.4050),5_4_3_2_5_6,[0.0, 0.0, tensor(0.2290), tensor(0.1320), tensor(0.2520), tensor(0.7140), tensor(0.6980), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.4737),tensor(0.4737),6_0_7_1_4_5,[tensor(0.1330), tensor(0.8200), 0.0, 0.0, tensor(0.4990), tensor(0.5810), tensor(0.2230), tensor(0.5860), 0.0, 0.0],21,0.0001,0.075
tensor(0.5302),tensor(0.5302),6_4_2_6_5_7,[0.0, 0.0, tensor(0.5040), 0.0, tensor(0.4470), tensor(0.4680), tensor(0.6960), tensor(0.5360), 0.0, 0.0],21,0.0001,0.075
tensor(0.4874),tensor(0.4874),6_5_7_6_4_2,[0.0, 0.0, tensor(0.5120), 0.0, tensor(0.6780), tensor(0.4910), tensor(0.3150), tensor(0.4410), 0.0, 0.0],21,0.0001,0.075
tensor(0.4504),tensor(0.4504),8_9_0_7_6,[tensor(0.4630), 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.7970), tensor(0.7310), tensor(0.1050), tensor(0.1560)],21,0.0001,0.075
0.38233333333333336,0.5594833333333333,[0.476 0.811   nan 0.501 0.44  0.644 0.848 0.815 0.294 0.211],0.5901666666666666,0.5288,3_5_1_3_5_4,8_9_0_7_6,0.3846423625946045,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.3837777777777778,0.5587500000000001,[0.471 0.814   nan 0.508 0.429 0.639 0.848 0.814 0.293 0.214],0.5895,0.528,3_5_1_3_5_4,8_9_0_7_6,0.4258723258972168,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.4015,0.43899999999999995,[  nan   nan 0.38  0.225 0.268 0.523 0.535 0.573   nan   nan],0.409,0.469,5_4_3_2_5_6,6_4_2_6_5_7,0.3901662826538086,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.3943333333333333,0.4321666666666667,[  nan   nan 0.381 0.227 0.256 0.519 0.521 0.565   nan   nan],0.4038333333333333,0.4605,5_4_3_2_5_6,6_4_2_6_5_7,0.3695485591888428,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.401,0.39483333333333337,[  nan   nan 0.358 0.233 0.616 0.415 0.3   0.412   nan   nan],0.3895,0.40016666666666667,2_5_6_5_4_3,6_5_7_6_4_2,0.4035971164703369,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.3988333333333333,0.39416666666666667,[  nan   nan 0.359 0.234 0.614 0.414 0.3   0.408   nan   nan],0.38916666666666666,0.39916666666666667,2_5_6_5_4_3,6_5_7_6_4_2,0.4737577438354492,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.3868888888888889,0.5254666666666666,[0.277 0.923   nan 0.49  0.541 0.597 0.858 0.76  0.139 0.189],0.4446,0.6063333333333333,0_7_6_8_9,3_5_4_3_5_1,0.39235973358154297,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.3808888888888889,0.52585,[0.276 0.916   nan 0.493 0.521 0.608 0.857 0.762 0.127 0.204],0.4452,0.6065,0_7_6_8_9,3_5_4_3_5_1,0.47747254371643066,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.5208333333333334,0.5306666666666666,[0.295 0.921   nan   nan 0.425 0.618 0.316 0.609   nan   nan],0.5306666666666666,1_4_5_6_0_7,0.0,None,resnet20x4,21,0.0001,0.075
0.5571666666666667,0.5781666666666667,[0.405 0.947   nan   nan 0.607 0.626 0.252 0.632   nan   nan],0.5781666666666667,6_0_7_1_4_5,0.0,None,resnet20x4,21,0.0001,0.075
