Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.5733),tensor(0.5733),0_1_2_3_4_5_6_7_8_9,[tensor(0.5700), tensor(0.7070), tensor(0.4790), tensor(0.4970), tensor(0.4990), tensor(0.4210), tensor(0.6350), tensor(0.6730), tensor(0.5810), tensor(0.6710)],21,0.0001,0.075
tensor(0.5959),tensor(0.5959),0_1_2_3_4_5_6_7_8_9,[tensor(0.5880), tensor(0.7150), tensor(0.4370), tensor(0.4720), tensor(0.5700), tensor(0.4420), tensor(0.7100), tensor(0.6880), tensor(0.6010), tensor(0.7360)],21,0.0001,0.075
tensor(0.4862),tensor(0.4862),0_1_2_3_4_5_6_7_8_9,[tensor(0.4270), tensor(0.6980), tensor(0.2760), tensor(0.3900), tensor(0.4870), tensor(0.4060), tensor(0.5480), tensor(0.5670), tensor(0.5400), tensor(0.5230)],21,0.0001,0.075
tensor(0.5120),tensor(0.5120),0_1_2_3_4_5_6_7_8_9,[tensor(0.4430), tensor(0.7330), tensor(0.3330), tensor(0.3550), tensor(0.4890), tensor(0.3710), tensor(0.5500), tensor(0.5850), tensor(0.6060), tensor(0.6550)],21,0.0001,0.075
tensor(0.5783),tensor(0.5783),0_1_2_3_4_5_6_7_8_9,[tensor(0.5950), tensor(0.7340), tensor(0.4890), tensor(0.4640), tensor(0.4950), tensor(0.4890), tensor(0.6550), tensor(0.6330), tensor(0.5390), tensor(0.6900)],21,0.0001,0.075
tensor(0.5553),tensor(0.5553),0_1_2_3_4_5_6_7_8_9,[tensor(0.5340), tensor(0.7280), tensor(0.4080), tensor(0.4790), tensor(0.5800), tensor(0.3730), tensor(0.6570), tensor(0.6150), tensor(0.5030), tensor(0.6760)],21,0.0001,0.075
tensor(0.4845),tensor(0.4845),0_1_2_3_4_5_6_7_8_9,[tensor(0.4680), tensor(0.7140), tensor(0.2750), tensor(0.3690), tensor(0.5160), tensor(0.3960), tensor(0.5000), tensor(0.5740), tensor(0.4700), tensor(0.5630)],21,0.0001,0.075
tensor(0.5107),tensor(0.5107),0_1_2_3_4_5_6_7_8_9,[tensor(0.4360), tensor(0.7210), tensor(0.3410), tensor(0.3430), tensor(0.4420), tensor(0.4020), tensor(0.5460), tensor(0.5890), tensor(0.6020), tensor(0.6850)],21,0.0001,0.075
0.4131,0.3402,[0.254 0.565 0.233 0.271 0.324 0.316 0.274 0.358 0.399 0.408],0.3402,0.3402,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.3847496509552002,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.4137,0.3404,[0.256 0.565 0.233 0.27  0.325 0.314 0.272 0.358 0.401 0.41 ],0.3404,0.3404,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.38304591178894043,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.4588,0.3962,[0.219 0.6   0.275 0.409 0.337 0.242 0.429 0.518 0.441 0.492],0.3962,0.3962,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.38721227645874023,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.4595,0.3961,[0.219 0.6   0.274 0.41  0.334 0.242 0.431 0.518 0.442 0.491],0.3961,0.3961,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.41928768157958984,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.4854,0.4519,[0.53  0.541 0.413 0.307 0.301 0.371 0.524 0.484 0.481 0.567],0.4519,0.4519,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.44220876693725586,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.4843,0.4524,[0.531 0.544 0.412 0.308 0.302 0.371 0.525 0.482 0.483 0.566],0.4524,0.4524,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.3934628963470459,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.4582,0.427,[0.231 0.527 0.291 0.41  0.319 0.31  0.59  0.472 0.545 0.575],0.427,0.427,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.42514610290527344,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.4586,0.427,[0.231 0.525 0.291 0.41  0.319 0.313 0.589 0.473 0.546 0.573],0.427,0.427,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.39140987396240234,match_tensors_zipit,resnet20x4,21,0.0001,0.075
