Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.6304),tensor(0.6304),0_1_2_3_4_5_6_7_8_9,[tensor(0.6470), tensor(0.7840), tensor(0.5230), tensor(0.3960), tensor(0.5750), tensor(0.5440), tensor(0.7880), tensor(0.6920), tensor(0.6760), tensor(0.6790)],21,0.0001,0.075
tensor(0.6719),tensor(0.6719),0_1_2_3_4_5_6_7_8_9,[tensor(0.6270), tensor(0.8190), tensor(0.5740), tensor(0.5380), tensor(0.6440), tensor(0.5500), tensor(0.7580), tensor(0.6890), tensor(0.7780), tensor(0.7420)],21,0.0001,0.075
tensor(0.6333),tensor(0.6333),0_1_2_3_4_5_6_7_8_9,[tensor(0.5900), tensor(0.7440), tensor(0.4800), tensor(0.5740), tensor(0.6170), tensor(0.5660), tensor(0.6710), tensor(0.6820), tensor(0.7190), tensor(0.6900)],21,0.0001,0.075
tensor(0.6481),tensor(0.6481),0_1_2_3_4_5_6_7_8_9,[tensor(0.6910), tensor(0.7560), tensor(0.5510), tensor(0.5070), tensor(0.6340), tensor(0.5740), tensor(0.6570), tensor(0.6760), tensor(0.6970), tensor(0.7380)],21,0.0001,0.075
tensor(0.6444),tensor(0.6444),0_1_2_3_4_5_6_7_8_9,[tensor(0.6450), tensor(0.7690), tensor(0.5210), tensor(0.4960), tensor(0.6140), tensor(0.6010), tensor(0.6560), tensor(0.6770), tensor(0.7270), tensor(0.7380)],21,0.0001,0.075
tensor(0.6306),tensor(0.6306),0_1_2_3_4_5_6_7_8_9,[tensor(0.5590), tensor(0.8440), tensor(0.5190), tensor(0.5780), tensor(0.5360), tensor(0.5110), tensor(0.7070), tensor(0.6780), tensor(0.6810), tensor(0.6930)],21,0.0001,0.075
tensor(0.6351),tensor(0.6351),0_1_2_3_4_5_6_7_8_9,[tensor(0.6060), tensor(0.8120), tensor(0.5320), tensor(0.4490), tensor(0.5860), tensor(0.5580), tensor(0.7600), tensor(0.6780), tensor(0.6920), tensor(0.6780)],21,0.0001,0.075
tensor(0.6803),tensor(0.6803),0_1_2_3_4_5_6_7_8_9,[tensor(0.6540), tensor(0.7980), tensor(0.5920), tensor(0.5360), tensor(0.6500), tensor(0.5970), tensor(0.7520), tensor(0.6980), tensor(0.7880), tensor(0.7380)],21,0.0001,0.075
tensor(0.6400),tensor(0.6400),0_1_2_3_4_5_6_7_8_9,[tensor(0.6090), tensor(0.7800), tensor(0.4880), tensor(0.5500), tensor(0.6160), tensor(0.6000), tensor(0.6830), tensor(0.6610), tensor(0.7350), tensor(0.6780)],21,0.0001,0.075
tensor(0.6349),tensor(0.6349),0_1_2_3_4_5_6_7_8_9,[tensor(0.5630), tensor(0.8570), tensor(0.5470), tensor(0.5760), tensor(0.5450), tensor(0.5000), tensor(0.7040), tensor(0.6940), tensor(0.6950), tensor(0.6680)],21,0.0001,0.075
0.5836,0.5682,[0.574 0.779 0.501 0.49  0.49  0.441 0.536 0.636 0.668 0.567],0.5682,0.5682,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.47558164596557617,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.5835,0.5679,[0.575 0.778 0.501 0.488 0.49  0.44  0.535 0.636 0.668 0.568],0.5679,0.5679,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.48984336853027344,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.6565,0.6171,[0.507 0.755 0.545 0.494 0.577 0.512 0.729 0.616 0.808 0.628],0.6171,0.6171,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.4714188575744629,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.6518,0.6103,[0.533 0.752 0.484 0.51  0.561 0.513 0.735 0.612 0.799 0.604],0.6103,0.6103,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.4403824806213379,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.522,0.4817,[0.537 0.622 0.354 0.224 0.404 0.262 0.581 0.573 0.584 0.676],0.4817,0.4817,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.5374326705932617,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.5228,0.4803,[0.53  0.615 0.352 0.232 0.407 0.266 0.583 0.561 0.58  0.677],0.4803,0.4803,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.43698620796203613,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.6205,0.5686,[0.506 0.807 0.484 0.512 0.528 0.508 0.631 0.529 0.641 0.54 ],0.5686,0.5686,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.4273545742034912,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.6208,0.5676,[0.505 0.809 0.482 0.509 0.527 0.507 0.631 0.526 0.641 0.539],0.5676,0.5676,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.4200136661529541,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.635,0.6351,[0.606 0.812 0.535 0.446 0.587 0.557 0.762 0.675 0.693 0.678],0.6351,0_1_2_3_4_5_6_7_8_9,0.0,None,resnet20x4,21,0.0001,0.075
0.6402,0.6401,[0.61  0.78  0.486 0.548 0.617 0.6   0.684 0.662 0.736 0.678],0.6401,0_1_2_3_4_5_6_7_8_9,0.0,None,resnet20x4,21,0.0001,0.075
