Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.1934),tensor(0.9670),8_9,[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.9750), tensor(0.9590)],21,0.0001,0.075
tensor(0.5962),tensor(0.7452),0_1_2_3_4_5_6_7,[tensor(0.7610), tensor(0.8900), tensor(0.6710), tensor(0.6580), tensor(0.7490), tensor(0.7450), tensor(0.6670), tensor(0.8210), 0.0, 0.0],21,0.0001,0.075
tensor(0.6022),tensor(0.7528),0_1_2_3_4_5_6_7,[tensor(0.7360), tensor(0.8990), tensor(0.7010), tensor(0.6090), tensor(0.7800), tensor(0.7050), tensor(0.7360), tensor(0.8560), 0.0, 0.0],21,0.0001,0.075
tensor(0.6241),tensor(0.7801),0_1_2_3_4_5_6_7,[tensor(0.8370), tensor(0.8640), tensor(0.7000), tensor(0.6510), tensor(0.7790), tensor(0.7160), tensor(0.8590), tensor(0.8350), 0.0, 0.0],21,0.0001,0.075
tensor(0.6104),tensor(0.7630),0_1_2_3_4_5_6_7,[tensor(0.8010), tensor(0.8890), tensor(0.7040), tensor(0.6340), tensor(0.7340), tensor(0.7370), tensor(0.7920), tensor(0.8130), 0.0, 0.0],21,0.0001,0.075
tensor(0.6320),tensor(0.7900),0_1_2_3_4_5_6_7,[tensor(0.8200), tensor(0.8930), tensor(0.7680), tensor(0.6640), tensor(0.7980), tensor(0.7040), tensor(0.8300), tensor(0.8430), 0.0, 0.0],21,0.0001,0.075
tensor(0.5990),tensor(0.7488),0_1_2_3_4_5_6_7,[tensor(0.6950), tensor(0.8970), tensor(0.6850), tensor(0.6720), tensor(0.7410), tensor(0.7140), tensor(0.7530), tensor(0.8330), 0.0, 0.0],21,0.0001,0.075
tensor(0.6557),tensor(0.8196),0_1_2_3_4_5_6_7,[tensor(0.8490), tensor(0.9050), tensor(0.7480), tensor(0.7120), tensor(0.8070), tensor(0.8010), tensor(0.8910), tensor(0.8440), 0.0, 0.0],21,0.0001,0.075
tensor(0.6513),tensor(0.8141),0_1_2_3_4_5_6_7,[tensor(0.8550), tensor(0.9080), tensor(0.7400), tensor(0.6790), tensor(0.8200), tensor(0.7730), tensor(0.8580), tensor(0.8800), 0.0, 0.0],21,0.0001,0.075
tensor(0.6557),tensor(0.8196),0_1_2_3_4_5_6_7,[tensor(0.8580), tensor(0.8740), tensor(0.7460), tensor(0.7560), tensor(0.8290), tensor(0.7700), tensor(0.8860), tensor(0.8380), 0.0, 0.0],21,0.0001,0.075
0.7047,0.694551467611336,[0.637 0.78  0.561 0.656 0.569 0.623 0.833 0.799 0.751 0.761],0.6941894736842106,0.6949134615384616,8_9,0_1_2_3_4_5_6_7,0.40778064727783203,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.7117,0.6985741396761134,[0.653 0.789 0.545 0.636 0.562 0.652 0.856 0.801 0.777 0.761],0.6981578947368421,0.6989903846153847,8_9,0_1_2_3_4_5_6_7,0.4335932731628418,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.69625,0.64175,[0.641 0.904 0.485 0.514 0.616 0.641 0.695 0.638   nan   nan],0.64175,0.64175,0_1_2_3_4_5_6_7,0_1_2_3_4_5_6_7,0.2952427864074707,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.69575,0.642125,[0.665 0.912 0.493 0.523 0.63  0.65  0.647 0.617   nan   nan],0.642125,0.642125,0_1_2_3_4_5_6_7,0_1_2_3_4_5_6_7,0.2988090515136719,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.813375,0.8086597222222223,[0.876 0.958 0.671 0.652 0.791 0.767 0.823 0.861   nan   nan],0.689695652173913,0.6888333333333333,0.799875,0_1_2_3_4_5_6_7,0_1_2_3_4_5_6_7,0.3041510581970215,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.812875,0.8083055555555556,[0.875 0.958 0.671 0.651 0.792 0.768 0.821 0.86    nan   nan],0.8171111111111111,0.7995,0_1_2_3_4_5_6_7,0_1_2_3_4_5_6_7,0.3184173107147217,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.6705,0.638375,[0.537 0.916 0.612 0.507 0.615 0.612 0.58  0.728   nan   nan],0.638375,0.638375,0_1_2_3_4_5_6_7,0_1_2_3_4_5_6_7,0.30786681175231934,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.648875,0.618125,[0.53  0.893 0.537 0.507 0.611 0.571 0.617 0.679   nan   nan],0.618125,0.618125,0_1_2_3_4_5_6_7,0_1_2_3_4_5_6_7,0.23133349418640137,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.772875,0.7602777777777778,[0.779 0.95  0.697 0.646 0.738 0.757 0.724 0.821   nan   nan],0.7565555555555555,0.764,0_1_2_3_4_5_6_7,0_1_2_3_4_5_6_7,0.31110095977783203,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.772625,0.7600416666666667,[0.779 0.95  0.697 0.646 0.738 0.755 0.724 0.821   nan   nan],0.7563333333333333,0.76375,0_1_2_3_4_5_6_7,0_1_2_3_4_5_6_7,0.4021432399749756,match_tensors_zipit,resnet20x4,21,0.0001,0.075
