Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.8858),tensor(0.8858),0_1_2_3_4_5_6_7_8_9,[tensor(0.9260), tensor(0.9490), tensor(0.8180), tensor(0.7540), tensor(0.8950), tensor(0.8190), tensor(0.9120), tensor(0.8910), tensor(0.9500), tensor(0.9440)],21,0.0001,0.075
tensor(0.8864),tensor(0.8864),0_1_2_3_4_5_6_7_8_9,[tensor(0.9220), tensor(0.9570), tensor(0.8400), tensor(0.7600), tensor(0.8880), tensor(0.7940), tensor(0.9110), tensor(0.9020), tensor(0.9510), tensor(0.9390)],21,0.0001,0.075
tensor(0.8843),tensor(0.8843),0_1_2_3_4_5_6_7_8_9,[tensor(0.9210), tensor(0.9600), tensor(0.8270), tensor(0.7410), tensor(0.8870), tensor(0.8160), tensor(0.9180), tensor(0.8940), tensor(0.9430), tensor(0.9360)],21,0.0001,0.075
tensor(0.8845),tensor(0.8845),0_1_2_3_4_5_6_7_8_9,[tensor(0.9130), tensor(0.9570), tensor(0.8230), tensor(0.7460), tensor(0.8940), tensor(0.8140), tensor(0.9150), tensor(0.8960), tensor(0.9440), tensor(0.9430)],21,0.0001,0.075
tensor(0.8851),tensor(0.8851),0_1_2_3_4_5_6_7_8_9,[tensor(0.9130), tensor(0.9580), tensor(0.8350), tensor(0.7510), tensor(0.8810), tensor(0.8110), tensor(0.9150), tensor(0.9060), tensor(0.9440), tensor(0.9370)],21,0.0001,0.075
tensor(0.8853),tensor(0.8853),0_1_2_3_4_5_6_7_8_9,[tensor(0.9210), tensor(0.9640), tensor(0.8280), tensor(0.7360), tensor(0.8910), tensor(0.8120), tensor(0.9100), tensor(0.9030), tensor(0.9490), tensor(0.9390)],21,0.0001,0.075
tensor(0.8855),tensor(0.8855),0_1_2_3_4_5_6_7_8_9,[tensor(0.9170), tensor(0.9580), tensor(0.8240), tensor(0.7590), tensor(0.8820), tensor(0.8210), tensor(0.9140), tensor(0.8890), tensor(0.9480), tensor(0.9430)],21,0.0001,0.075
tensor(0.8842),tensor(0.8842),0_1_2_3_4_5_6_7_8_9,[tensor(0.9220), tensor(0.9570), tensor(0.8260), tensor(0.7560), tensor(0.8910), tensor(0.8080), tensor(0.9030), tensor(0.8960), tensor(0.9420), tensor(0.9410)],21,0.0001,0.075
tensor(0.8832),tensor(0.8832),0_1_2_3_4_5_6_7_8_9,[tensor(0.9190), tensor(0.9580), tensor(0.8140), tensor(0.7440), tensor(0.8840), tensor(0.8140), tensor(0.9140), tensor(0.8980), tensor(0.9440), tensor(0.9430)],21,0.0001,0.075
tensor(0.8845),tensor(0.8845),0_1_2_3_4_5_6_7_8_9,[tensor(0.9230), tensor(0.9570), tensor(0.8210), tensor(0.7460), tensor(0.8990), tensor(0.8130), tensor(0.9060), tensor(0.8920), tensor(0.9470), tensor(0.9410)],21,0.0001,0.075
0.8857,0.8838,[0.924 0.958 0.819 0.752 0.893 0.805 0.905 0.896 0.945 0.941],0.8838,0.8838,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.001154184341430664,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.8859,0.884,[0.924 0.958 0.82  0.753 0.893 0.804 0.905 0.898 0.944 0.941],0.884,0.884,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.0011742115020751953,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.8871,0.8859,[0.913 0.959 0.837 0.759 0.88  0.813 0.914 0.903 0.945 0.936],0.8859,0.8859,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.0012369155883789062,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.8873,0.8857,[0.912 0.959 0.837 0.76  0.879 0.812 0.914 0.902 0.945 0.937],0.8857,0.8857,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.0012202262878417969,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.8858,0.8823,[0.921 0.959 0.81  0.746 0.883 0.807 0.911 0.899 0.945 0.942],0.8823,0.8823,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.0011737346649169922,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.8861,0.8824,[0.921 0.959 0.811 0.744 0.884 0.809 0.911 0.898 0.945 0.942],0.8824,0.8824,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.0011692047119140625,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.8865,0.8846,[0.923 0.957 0.821 0.747 0.898 0.811 0.906 0.893 0.948 0.942],0.8846,0.8846,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.001177072525024414,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.8866,0.8844,[0.923 0.957 0.821 0.744 0.898 0.813 0.906 0.893 0.947 0.942],0.8844,0.8844,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.0012140274047851562,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.8858,0.8857,[0.926 0.949 0.818 0.754 0.895 0.819 0.912 0.89  0.95  0.944],0.8857,0_1_2_3_4_5_6_7_8_9,0.0,None,resnet20x4,21,0.0001,0.075
0.8842,0.8843,[0.921 0.96  0.827 0.74  0.887 0.816 0.918 0.894 0.943 0.937],0.8843,0_1_2_3_4_5_6_7_8_9,0.0,None,resnet20x4,21,0.0001,0.075
