Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.8845),tensor(0.8845),0_1_2_3_4_5_6_7_8_9,[tensor(0.9170), tensor(0.9510), tensor(0.8480), tensor(0.7630), tensor(0.8740), tensor(0.8260), tensor(0.9100), tensor(0.8910), tensor(0.9280), tensor(0.9370)],21,0.0001,0.075
tensor(0.8875),tensor(0.8875),0_1_2_3_4_5_6_7_8_9,[tensor(0.9180), tensor(0.9540), tensor(0.8510), tensor(0.7540), tensor(0.8850), tensor(0.8340), tensor(0.9100), tensor(0.9020), tensor(0.9310), tensor(0.9360)],21,0.0001,0.075
tensor(0.8869),tensor(0.8869),0_1_2_3_4_5_6_7_8_9,[tensor(0.9180), tensor(0.9490), tensor(0.8480), tensor(0.7590), tensor(0.8890), tensor(0.8280), tensor(0.9170), tensor(0.8970), tensor(0.9270), tensor(0.9370)],21,0.0001,0.075
tensor(0.8846),tensor(0.8846),0_1_2_3_4_5_6_7_8_9,[tensor(0.9100), tensor(0.9390), tensor(0.8570), tensor(0.7350), tensor(0.8780), tensor(0.8440), tensor(0.9130), tensor(0.8940), tensor(0.9240), tensor(0.9520)],21,0.0001,0.075
tensor(0.8859),tensor(0.8859),0_1_2_3_4_5_6_7_8_9,[tensor(0.9200), tensor(0.9500), tensor(0.8480), tensor(0.7620), tensor(0.8820), tensor(0.8260), tensor(0.9130), tensor(0.8930), tensor(0.9260), tensor(0.9390)],21,0.0001,0.075
tensor(0.8879),tensor(0.8879),0_1_2_3_4_5_6_7_8_9,[tensor(0.9220), tensor(0.9530), tensor(0.8560), tensor(0.7600), tensor(0.8780), tensor(0.8280), tensor(0.9200), tensor(0.9010), tensor(0.9290), tensor(0.9320)],21,0.0001,0.075
tensor(0.8887),tensor(0.8887),0_1_2_3_4_5_6_7_8_9,[tensor(0.9010), tensor(0.9650), tensor(0.8560), tensor(0.7620), tensor(0.8870), tensor(0.8270), tensor(0.9220), tensor(0.8970), tensor(0.9330), tensor(0.9370)],21,0.0001,0.075
tensor(0.8864),tensor(0.8864),0_1_2_3_4_5_6_7_8_9,[tensor(0.9000), tensor(0.9430), tensor(0.8530), tensor(0.7600), tensor(0.8970), tensor(0.8270), tensor(0.9180), tensor(0.8930), tensor(0.9330), tensor(0.9400)],21,0.0001,0.075
tensor(0.8864),tensor(0.8864),0_1_2_3_4_5_6_7_8_9,[tensor(0.9220), tensor(0.9520), tensor(0.8520), tensor(0.7570), tensor(0.8820), tensor(0.8310), tensor(0.9070), tensor(0.8970), tensor(0.9280), tensor(0.9360)],21,0.0001,0.075
tensor(0.8853),tensor(0.8853),0_1_2_3_4_5_6_7_8_9,[tensor(0.9060), tensor(0.9520), tensor(0.8560), tensor(0.7540), tensor(0.8820), tensor(0.8150), tensor(0.9120), tensor(0.8920), tensor(0.9420), tensor(0.9420)],21,0.0001,0.075
0.8872,0.8851,[0.918 0.951 0.848 0.764 0.874 0.826 0.912 0.892 0.928 0.938],0.8851,0.8851,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.0027751922607421875,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.8862,0.8858,[0.919 0.951 0.848 0.763 0.879 0.826 0.913 0.894 0.926 0.939],0.8858,0.8858,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.0026128292083740234,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.8868,0.8856,[0.919 0.951 0.848 0.762 0.88  0.826 0.913 0.893 0.925 0.939],0.8856,0.8856,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.0028638839721679688,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.888,0.8877,[0.918 0.955 0.852 0.753 0.885 0.834 0.91  0.902 0.932 0.936],0.8877,0.8877,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.0029544830322265625,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.8863,0.8863,[0.922 0.952 0.852 0.757 0.882 0.83  0.907 0.897 0.928 0.936],0.8863,0.8863,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.0027823448181152344,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.888,0.8879,[0.921 0.953 0.857 0.759 0.878 0.828 0.92  0.901 0.929 0.933],0.8879,0.8879,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.005677223205566406,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.8879,0.8859,[0.919 0.952 0.848 0.763 0.88  0.826 0.913 0.894 0.926 0.938],0.8859,0.8859,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.0028035640716552734,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.8872,0.8874,[0.918 0.953 0.851 0.755 0.885 0.834 0.909 0.901 0.931 0.937],0.8874,0.8874,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.0031518936157226562,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.886,0.8859,[0.92  0.952 0.848 0.763 0.879 0.826 0.913 0.894 0.926 0.938],0.8859,0.8859,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.002609729766845703,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.887,0.8864,[0.9   0.943 0.853 0.759 0.896 0.827 0.918 0.894 0.934 0.94 ],0.8864,0.8864,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.0029349327087402344,match_tensors_permute,resnet20x4,21,0.0001,0.075
