Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.0199),tensor(0.0603),0_1_2_5_8_12_14_17_18_20_24_33_35_37_41_42_47_49_51_57_59_62_69_70_73_75_77_80_83_84_90_91_92,[tensor(0.), tensor(0.8300), tensor(0.), 0.0, 0.0, tensor(0.), 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, tensor(0.), tensor(0.), 0.0, tensor(0.), 0.0, 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, 0.0, tensor(0.), tensor(0.2600), 0.0, 0.0, 0.0, 0.0, tensor(0.9000), 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), tensor(0.), 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, tensor(0.), 0.0, 0.0, tensor(0.), tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), tensor(0.), tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.0129),tensor(0.0416),0_1_2_5_8_12_14_17_18_24_33_37_41_42_43_47_49_51_58_62_70_73_75_77_79_80_83_84_91_92_94,[tensor(0.), tensor(0.), tensor(0.), 0.0, 0.0, tensor(0.8000), 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, tensor(0.), tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, tensor(0.), tensor(0.), tensor(0.), 0.0, 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, tensor(0.2800), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, tensor(0.2100), 0.0, tensor(0.), tensor(0.), 0.0, 0.0, tensor(0.), tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), tensor(0.), 0.0, tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.0123),tensor(0.0351),0_1_2_4_5_8_12_14_17_18_24_33_37_41_42_47_49_51_57_59_62_70_73_75_77_79_80_83_84_89_90_91_92_93_94,[tensor(0.), tensor(0.), tensor(0.), 0.0, tensor(0.), tensor(0.), 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, tensor(0.), tensor(0.7800), 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.4500), 0.0, 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, tensor(0.), tensor(0.), 0.0, 0.0, 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, tensor(0.), 0.0, tensor(0.), tensor(0.), 0.0, 0.0, tensor(0.), tensor(0.), 0.0, 0.0, 0.0, 0.0, tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.0207),tensor(0.0668),0_1_2_5_8_14_17_18_33_37_41_42_43_47_49_51_57_58_59_62_70_73_75_77_79_80_83_84_90_91_94,[tensor(0.), tensor(0.8500), tensor(0.), 0.0, 0.0, tensor(0.), 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), 0.0, 0.0, tensor(0.), tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, tensor(0.), tensor(0.3200), tensor(0.), 0.0, 0.0, 0.0, tensor(0.9000), 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), tensor(0.), tensor(0.), 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, tensor(0.), 0.0, tensor(0.), tensor(0.), 0.0, 0.0, tensor(0.), tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), tensor(0.), 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.0131),tensor(0.0327),0_1_2_4_5_8_12_14_17_18_20_24_33_35_37_41_42_43_47_49_51_58_62_69_70_73_74_75_76_77_79_80_83_84_86_91_92_93_94_95,[tensor(0.0100), tensor(0.), tensor(0.), 0.0, tensor(0.), tensor(0.), 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, tensor(0.), tensor(0.5800), 0.0, tensor(0.), 0.0, 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.7200), 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, 0.0, tensor(0.), tensor(0.), tensor(0.), 0.0, 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), tensor(0.), 0.0, 0.0, tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.), 0.0, tensor(0.), tensor(0.), 0.0, 0.0, tensor(0.), tensor(0.), 0.0, tensor(0.), 0.0, 0.0, 0.0, 0.0, tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.), 0.0, 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.0107),tensor(0.0289),0_1_2_5_8_12_14_17_18_20_24_33_35_37_41_42_43_47_49_51_57_58_59_62_69_70_73_75_77_79_80_83_84_90_91_92_94,[tensor(0.), tensor(0.), tensor(0.), 0.0, 0.0, tensor(0.6200), 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, tensor(0.), tensor(0.), 0.0, tensor(0.), 0.0, 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, 0.0, tensor(0.), tensor(0.), tensor(0.), 0.0, 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), tensor(0.), tensor(0.), 0.0, 0.0, tensor(0.2300), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), tensor(0.), 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, tensor(0.2200), 0.0, tensor(0.), tensor(0.), 0.0, 0.0, tensor(0.), tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), tensor(0.), tensor(0.), 0.0, tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.0097),tensor(0.0323),0_1_2_5_8_12_14_17_18_24_33_37_41_42_47_49_51_57_59_62_70_73_75_77_80_83_84_90_91_92,[tensor(0.1800), tensor(0.), tensor(0.), 0.0, 0.0, tensor(0.), 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, tensor(0.), tensor(0.5500), 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.2400), 0.0, 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, tensor(0.), tensor(0.), 0.0, 0.0, 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, tensor(0.), 0.0, 0.0, tensor(0.), tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), tensor(0.), tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.0200),tensor(0.0588),0_1_2_5_8_12_14_17_18_24_33_37_41_42_43_47_49_51_57_58_59_62_70_73_75_77_79_80_83_84_90_91_92_94,[tensor(0.), tensor(0.8300), tensor(0.), 0.0, 0.0, tensor(0.), 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, tensor(0.), tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, tensor(0.), tensor(0.2900), tensor(0.), 0.0, 0.0, 0.0, tensor(0.8800), 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), tensor(0.), tensor(0.), 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, tensor(0.), 0.0, tensor(0.), tensor(0.), 0.0, 0.0, tensor(0.), tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), tensor(0.), tensor(0.), 0.0, tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.0141),tensor(0.0470),0_1_2_5_8_12_14_17_18_24_33_37_41_42_47_49_51_57_59_62_70_73_75_77_80_83_84_90_91_92,[tensor(0.), tensor(0.), tensor(0.), 0.0, 0.0, tensor(0.2000), 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, tensor(0.), tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, tensor(0.), tensor(0.), 0.0, 0.0, 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, tensor(0.2600), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, tensor(0.9300), 0.0, 0.0, tensor(0.), 0.0, 0.0, tensor(0.), tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.0200), tensor(0.), tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.0197),tensor(0.0597),0_1_2_5_8_12_14_17_18_20_24_33_35_37_41_42_47_49_51_57_59_62_69_70_73_75_77_80_83_84_90_91_92,[tensor(0.), tensor(0.8500), tensor(0.), 0.0, 0.0, tensor(0.), 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, tensor(0.), tensor(0.), 0.0, tensor(0.), 0.0, 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, 0.0, tensor(0.), tensor(0.2600), 0.0, 0.0, 0.0, 0.0, tensor(0.8600), 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), tensor(0.), 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, tensor(0.), 0.0, 0.0, tensor(0.), tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), tensor(0.), tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.0192),tensor(0.0582),0_1_2_5_8_12_14_17_18_20_24_33_35_37_41_42_47_49_51_57_59_62_69_70_73_75_77_80_83_84_90_91_92,[tensor(0.), tensor(0.8400), tensor(0.), 0.0, 0.0, tensor(0.), 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, tensor(0.), tensor(0.), 0.0, tensor(0.), 0.0, 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, 0.0, tensor(0.), tensor(0.1600), 0.0, 0.0, 0.0, 0.0, tensor(0.9200), 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), tensor(0.), 0.0, 0.0, tensor(0.), 0.0, tensor(0.), 0.0, tensor(0.), 0.0, 0.0, tensor(0.), 0.0, 0.0, tensor(0.), tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.), tensor(0.), tensor(0.), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],21,0.0001,0.075
