parent_a,parent_b,labels_a,labels_b,a_per_class,b_per_class,a_per_task,b_per_task,pre_joint,pre_per_task,pre_per_class,post_joint,post_per_task,post_task_a,post_task_b,post_per_class,regime,time_s
09111d7d,1887bcd2,0_7_8,2_7_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]",0.5690000057220459,0.5853333473205566,0.212,0.5445,"[0.773, null, 0.033, null, null, null, null, 0.991, 0.454, 0.025]",0.2384,0.7953333333333333,0.742,0.8486666666666667,"[0.661, null, 0.881, null, null, null, null, 0.765, 0.8, 0.9]",copy-a+mut2,75.0
09111d7d,366f9057,0_7_8,3_5_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]",0.5690000057220459,0.5723333358764648,0.24716666666666667,0.44333333333333336,"[0.772, null, null, 0.164, null, 0.0, null, 0.483, 0.454, 0.787]",0.221,0.7835,0.8186666666666667,0.7483333333333333,"[0.666, null, null, 0.626, null, 0.681, null, 0.947, 0.843, 0.938]",copy-a+mut2,76.2
09111d7d,5ffed8da,0_7_8,6_8_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]",0.5690000057220459,0.7800000309944153,0.209,0.5421666666666667,"[0.771, null, null, null, null, null, 0.0, 0.482, 1.0, 0.0]",0.263,0.8676666666666667,0.8293333333333334,0.906,"[0.658, null, null, null, null, null, 0.955, 0.921, 0.909, 0.854]",copy-a+mut2,75.9
09111d7d,88ed44d1,0_7_8,3_6_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]",0.5690000057220459,0.42500004172325134,0.2,0.5375,"[0.773, null, null, 0.005, null, null, 0.0, 0.996, 0.455, null]",0.18,0.7563333333333333,0.7386666666666667,0.774,"[0.612, null, null, 0.779, null, null, 0.778, 0.765, 0.839, null]",copy-a+mut2,74.5
09111d7d,905afff7,0_7_8,3_5_6,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]",0.5690000057220459,0.36399999260902405,0.16966666666666666,0.4541666666666667,"[0.773, null, null, 0.877, null, 0.0, 0.137, 0.483, 0.455, null]",0.24383333333333335,0.735,0.8146666666666667,0.6553333333333333,"[0.633, null, null, 0.616, null, 0.543, 0.807, 0.928, 0.883, null]",copy-a+mut2,75.1
09111d7d,be2e50e9,0_7_8,3_6_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]",0.5690000057220459,0.5016667246818542,0.2,0.5375,"[0.77, null, null, 0.005, null, null, 0.0, 0.996, 0.458, null]",0.182,0.7761666666666667,0.765,0.7873333333333333,"[0.645, null, null, 0.779, null, null, 0.799, 0.784, 0.866, null]",copy-a+mut2,75.3
09111d7d,cb3a86af,0_7_8,1_6_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.5690000057220459,0.5966666340827942,0.2,0.5381666666666667,"[0.769, 0.001, null, null, null, null, 0.0, 1.0, 0.459, null]",0.1864,0.8716666666666667,0.8103333333333333,0.933,"[0.68, 0.949, null, null, null, null, 0.94, 0.91, 0.841, null]",copy-a+mut2,76.1
09111d7d,d8bd0bc0,0_7_8,4_5_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.5690000057220459,0.4826667010784149,0.2058,0.5393333333333333,"[0.77, null, null, null, 0.031, 0.0, null, 0.99, 0.455, null]",0.2126,0.7188333333333333,0.7146666666666667,0.723,"[0.69, null, null, null, 0.765, 0.807, null, 0.597, 0.857, null]",copy-a+mut2,73.8
09111d7d,e1762771,0_7_8,1_2_4,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5690000057220459,0.5213333964347839,0.23733333333333334,0.43133333333333335,"[0.772, 0.015, 0.27, null, 0.595, null, null, 0.483, 0.453, null]",0.2875,0.801,0.81,0.792,"[0.639, 0.954, 0.662, null, 0.76, null, null, 0.936, 0.855, null]",copy-a+mut2,74.2
1887bcd2,366f9057,2_7_9,3_5_9,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]",0.5853333473205566,0.5723333358764648,0.2002,0.537,"[null, null, 0.884, 0.0, null, 0.0, null, 0.338, null, 1.0]",0.185,0.8056666666666666,0.8733333333333333,0.738,"[null, null, 0.885, 0.643, null, 0.635, null, 0.799, null, 0.936]",copy-a+mut2,74.1
1887bcd2,5ffed8da,2_7_9,6_8_9,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]",0.5853333473205566,0.7800000309944153,0.2008,0.5363333333333333,"[null, null, 0.884, null, null, null, 0.0, 0.334, 0.0, 1.0]",0.1662,0.8836666666666667,0.8523333333333334,0.915,"[null, null, 0.869, null, null, null, 0.97, 0.788, 0.875, 0.9]",copy-a+mut2,74.3
1887bcd2,88ed44d1,2_7_9,3_6_7,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]",0.5853333473205566,0.42500004172325134,0.2066,0.5703333333333334,"[null, null, 0.884, 0.0, null, null, 0.0, 1.0, null, 0.538]",0.1444,0.8320000000000001,0.8686666666666667,0.7953333333333333,"[null, null, 0.904, 0.751, null, null, 0.834, 0.801, null, 0.901]",copy-a+mut2,73.9
1887bcd2,905afff7,2_7_9,3_5_6,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]",0.5853333473205566,0.36399999260902405,0.2713333333333333,0.44283333333333336,"[null, null, 0.884, 0.075, null, 0.77, 0.053, 0.336, null, 0.539]",0.22583333333333333,0.765,0.8566666666666667,0.6733333333333333,"[null, null, 0.869, 0.421, null, 0.748, 0.851, 0.777, null, 0.924]",copy-a+mut2,74.2
