parent_a,parent_b,labels_a,labels_b,a_per_class,b_per_class,a_per_task,b_per_task,child_joint,child_per_task,child_task_a,child_task_b,child_per_class,merging_fn,population,bn_reset,time_s
09111d7d,1887bcd2,0_7_8,2_7_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]",0.5690000057220459,0.5853333473205566,0.3838,0.556,0.517,0.595,"[0.779, null, 0.856, null, null, null, null, 0.364, 0.408, 0.565]",match_tensors_permute,runs_exp2d/seed0/population,False,44.1
09111d7d,366f9057,0_7_8,3_5_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]",0.5690000057220459,0.5723333358764648,0.24166666666666667,0.5558333333333333,0.5436666666666666,0.568,"[0.825, null, null, 0.725, null, 0.369, null, 0.469, 0.337, 0.61]",match_tensors_permute,runs_exp2d/seed0/population,False,44.5
09111d7d,5ffed8da,0_7_8,6_8_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]",0.5690000057220459,0.7800000309944153,0.4584,0.724,0.674,0.774,"[0.806, null, null, null, null, null, 0.907, 0.48, 0.736, 0.679]",match_tensors_permute,runs_exp2d/seed0/population,False,44.2
09111d7d,88ed44d1,0_7_8,3_6_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]",0.5690000057220459,0.42500004172325134,0.4134,0.431,0.436,0.426,"[0.807, null, null, 0.186, null, null, 0.959, 0.133, 0.368, null]",match_tensors_permute,runs_exp2d/seed0/population,False,44.1
09111d7d,905afff7,0_7_8,3_5_6,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]",0.5690000057220459,0.36399999260902405,0.3308333333333333,0.46,0.551,0.369,"[0.801, null, null, 0.117, null, 0.016, 0.974, 0.473, 0.379, null]",match_tensors_permute,runs_exp2d/seed0/population,False,44.4
09111d7d,be2e50e9,0_7_8,3_6_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]",0.5690000057220459,0.5016667246818542,0.3766,0.5038333333333334,0.508,0.49966666666666665,"[0.795, null, null, 0.247, null, null, 0.908, 0.344, 0.385, null]",match_tensors_permute,runs_exp2d/seed0/population,False,44.1
09111d7d,cb3a86af,0_7_8,1_6_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.5690000057220459,0.5966666340827942,0.3858,0.5418333333333333,0.49366666666666664,0.59,"[0.777, 0.531, null, null, null, null, 0.961, 0.278, 0.426, null]",match_tensors_permute,runs_exp2d/seed0/population,False,43.9
09111d7d,d8bd0bc0,0_7_8,4_5_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.5690000057220459,0.4826667010784149,0.387,0.4648333333333333,0.4513333333333333,0.47833333333333333,"[0.753, null, null, null, 0.633, 0.643, null, 0.159, 0.442, null]",match_tensors_permute,runs_exp2d/seed0/population,False,43.6
09111d7d,e1762771,0_7_8,1_2_4,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5690000057220459,0.5213333964347839,0.32716666666666666,0.5425,0.5613333333333334,0.5236666666666666,"[0.789, 0.535, 0.122, null, 0.914, null, null, 0.489, 0.406, null]",match_tensors_permute,runs_exp2d/seed0/population,False,43.9
1887bcd2,366f9057,2_7_9,3_5_9,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]",0.5853333473205566,0.5723333358764648,0.3944,0.5913333333333333,0.611,0.5716666666666667,"[null, null, 0.866, 0.689, null, 0.415, null, 0.356, null, 0.611]",match_tensors_permute,runs_exp2d/seed0/population,False,43.8
