parent_a,parent_b,labels_a,labels_b,a_per_class,b_per_class,a_per_task,b_per_task,child_joint,child_per_task,child_task_a,child_task_b,child_per_class,merging_fn,population,time_s
09111d7d,1887bcd2,0_7_8,2_7_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]",0.5690000057220459,0.5853333473205566,0.3792,0.5466666666666666,0.5163333333333333,0.577,"[0.756, null, 0.869, null, null, null, null, 0.351, 0.442, 0.511]",match_tensors_permute,runs_exp2d/seed0/population,70.1
09111d7d,366f9057,0_7_8,3_5_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]",0.5690000057220459,0.5723333358764648,0.24816666666666667,0.5633333333333334,0.552,0.5746666666666667,"[0.789, null, null, 0.681, null, 0.424, null, 0.48, 0.387, 0.619]",match_tensors_permute,runs_exp2d/seed0/population,70.3
09111d7d,5ffed8da,0_7_8,6_8_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]",0.5690000057220459,0.7800000309944153,0.4588,0.724,0.6713333333333333,0.7766666666666666,"[0.791, null, null, null, null, null, 0.907, 0.474, 0.749, 0.674]",match_tensors_permute,runs_exp2d/seed0/population,70.4
09111d7d,88ed44d1,0_7_8,3_6_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]",0.5690000057220459,0.42500004172325134,0.407,0.4318333333333333,0.43866666666666665,0.425,"[0.788, null, null, 0.174, null, null, 0.962, 0.139, 0.389, null]",match_tensors_permute,runs_exp2d/seed0/population,70.1
09111d7d,905afff7,0_7_8,3_5_6,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]",0.5690000057220459,0.36399999260902405,0.33066666666666666,0.4593333333333333,0.5526666666666666,0.366,"[0.787, null, null, 0.108, null, 0.013, 0.977, 0.469, 0.402, null]",match_tensors_permute,runs_exp2d/seed0/population,70.9
09111d7d,be2e50e9,0_7_8,3_6_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]",0.5690000057220459,0.5016667246818542,0.378,0.5073333333333334,0.512,0.5026666666666667,"[0.783, null, null, 0.264, null, null, 0.905, 0.339, 0.414, null]",match_tensors_permute,runs_exp2d/seed0/population,70.2
09111d7d,cb3a86af,0_7_8,1_6_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.5690000057220459,0.5966666340827942,0.3884,0.5458333333333334,0.5053333333333333,0.5863333333333334,"[0.759, 0.509, null, null, null, null, 0.961, 0.289, 0.468, null]",match_tensors_permute,runs_exp2d/seed0/population,70.2
09111d7d,d8bd0bc0,0_7_8,4_5_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.5690000057220459,0.4826667010784149,0.3748,0.45699999999999996,0.444,0.47,"[0.745, null, null, null, 0.665, 0.621, null, 0.124, 0.463, null]",match_tensors_permute,runs_exp2d/seed0/population,70.0
09111d7d,e1762771,0_7_8,1_2_4,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5690000057220459,0.5213333964347839,0.325,0.5421666666666667,0.564,0.5203333333333333,"[0.792, 0.522, 0.123, null, 0.916, null, null, 0.485, 0.415, null]",match_tensors_permute,runs_exp2d/seed0/population,70.3
1887bcd2,366f9057,2_7_9,3_5_9,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]",0.5853333473205566,0.5723333358764648,0.3852,0.5895,0.6096666666666667,0.5693333333333334,"[null, null, 0.878, 0.668, null, 0.423, null, 0.334, null, 0.617]",match_tensors_permute,runs_exp2d/seed0/population,70.5
