parent_a,parent_b,labels_a,labels_b,a_per_class,b_per_class,a_per_task,b_per_task,child_joint,child_per_task,child_task_a,child_task_b,child_per_class,saved_joint,saved_per_task,merging_fn,population,bn_reset,stop_node,time_s
09111d7d,1887bcd2,0_7_8,2_7_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]",0.5690000057220459,0.5853333473205566,0.3792,0.5466666666666666,0.5163333333333333,0.577,"[0.756, null, 0.869, null, null, null, null, 0.351, 0.442, 0.511]",0.2186,0.5451666666666667,match_tensors_permute,runs_exp2d/seed0/population,True,21,71.1
09111d7d,366f9057,0_7_8,3_5_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]",0.5690000057220459,0.5723333358764648,0.24783333333333332,0.5640000000000001,0.5523333333333333,0.5756666666666667,"[0.787, null, null, 0.682, null, 0.425, null, 0.482, 0.388, 0.62]",0.23516666666666666,0.42983333333333335,match_tensors_permute,runs_exp2d/seed0/population,True,21,71.7
09111d7d,5ffed8da,0_7_8,6_8_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]",0.5690000057220459,0.7800000309944153,0.459,0.7238333333333333,0.6713333333333333,0.7763333333333333,"[0.791, null, null, null, null, null, 0.906, 0.474, 0.749, 0.674]",0.2056,0.5221666666666667,match_tensors_permute,runs_exp2d/seed0/population,True,21,70.6
09111d7d,88ed44d1,0_7_8,3_6_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]",0.5690000057220459,0.42500004172325134,0.4068,0.432,0.43866666666666665,0.42533333333333334,"[0.787, null, null, 0.174, null, null, 0.962, 0.14, 0.389, null]",0.1996,0.5371666666666667,match_tensors_permute,runs_exp2d/seed0/population,True,21,70.7
09111d7d,905afff7,0_7_8,3_5_6,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]",0.5690000057220459,0.36399999260902405,0.331,0.4598333333333333,0.5533333333333333,0.36633333333333334,"[0.787, null, null, 0.109, null, 0.013, 0.977, 0.47, 0.403, null]",0.1635,0.43333333333333335,match_tensors_permute,runs_exp2d/seed0/population,True,21,71.2
09111d7d,be2e50e9,0_7_8,3_6_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]",0.5690000057220459,0.5016667246818542,0.3776,0.507,0.5113333333333333,0.5026666666666667,"[0.783, null, null, 0.263, null, null, 0.904, 0.341, 0.41, null]",0.1996,0.5348333333333333,match_tensors_permute,runs_exp2d/seed0/population,True,21,70.9
09111d7d,cb3a86af,0_7_8,1_6_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.5690000057220459,0.5966666340827942,0.388,0.546,0.5056666666666667,0.5863333333333334,"[0.759, 0.509, null, null, null, null, 0.961, 0.289, 0.469, null]",0.199,0.5383333333333333,match_tensors_permute,runs_exp2d/seed0/population,True,21,71.2
09111d7d,d8bd0bc0,0_7_8,4_5_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.5690000057220459,0.4826667010784149,0.3766,0.45799999999999996,0.446,0.47,"[0.743, null, null, null, 0.665, 0.62, null, 0.125, 0.47, null]",0.2032,0.539,match_tensors_permute,runs_exp2d/seed0/population,True,21,71.2
09111d7d,e1762771,0_7_8,1_2_4,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5690000057220459,0.5213333964347839,0.32516666666666666,0.5421666666666667,0.5653333333333334,0.519,"[0.792, 0.52, 0.123, null, 0.914, null, null, 0.487, 0.417, null]",0.218,0.4175,match_tensors_permute,runs_exp2d/seed0/population,True,21,71.4
1887bcd2,366f9057,2_7_9,3_5_9,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]",0.5853333473205566,0.5723333358764648,0.3862,0.59,0.61,0.57,"[null, null, 0.877, 0.671, null, 0.422, null, 0.336, null, 0.617]",0.2006,0.5295,match_tensors_permute,runs_exp2d/seed0/population,True,21,70.9
