parent_a,parent_b,labels_a,labels_b,a_per_class,b_per_class,a_per_task,b_per_task,pre_joint,pre_per_task,pre_per_class,post_joint,post_per_task,post_task_a,post_task_b,post_per_class,regime,type_A,type_B,type_C,type_E,type_D_plus,type_D_minus,norm_ratio_min,norm_ratio_med,norm_ratio_max,typed_frac_mean,layers_analysed,time_s
09111d7d,1887bcd2,0_7_8,2_7_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]",0.5690000057220459,0.5853333473205566,0.377,0.4613333333333333,"[0.683, null, 0.892, null, null, null, null, 0.119, 0.338, 0.617]",0.2194,0.776,0.7183333333333334,0.8336666666666667,"[0.638, null, 0.855, null, null, null, null, 0.766, 0.751, 0.88]",single-full@0.80@label+mut2,0.02472094857131245,0.09176184542505336,0.16878925277972026,0.2566994158143108,0.4145177500319542,0.043510787377648755,0.8879385809266807,0.9892162156292094,1.1171064147793999,0.715300261694725,21,99.2
09111d7d,366f9057,0_7_8,3_5_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]",0.5690000057220459,0.5723333358764648,0.2365,0.5356666666666667,"[0.644, null, null, 0.727, null, 0.329, null, 0.543, 0.379, 0.592]",0.127,0.7763333333333333,0.8046666666666666,0.748,"[0.631, null, null, 0.584, null, 0.717, null, 0.936, 0.847, 0.943]",single-full@0.80@label+mut2,0.024315381173015314,0.029567070446433627,0.10470166769112761,0.3438348659489635,0.4593244946776393,0.03825652006282058,0.7307853727590087,0.9655983541655939,1.1212758205571156,0.7164535828469145,21,104.5
09111d7d,5ffed8da,0_7_8,6_8_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]",0.5690000057220459,0.7800000309944153,0.332,0.62,"[0.427, null, null, null, null, null, 0.774, 0.246, 0.788, 0.697]",0.1688,0.8871666666666667,0.8553333333333333,0.919,"[0.714, null, null, null, null, null, 0.969, 0.94, 0.912, 0.876]",single-full@0.80@label+mut2,0.04235597094798581,0.007398115088928562,0.0804609111499296,0.1374205782186174,0.6584280707447283,0.07393635384981023,0.7475033363371172,0.9500057559665717,1.0753714382015263,0.7168729204836326,21,119.1
09111d7d,88ed44d1,0_7_8,3_6_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]",0.5690000057220459,0.42500004172325134,0.296,0.4135,"[0.671, null, null, 0.185, null, null, 0.949, 0.099, 0.478, null]",0.142,0.7808333333333333,0.7863333333333333,0.7753333333333333,"[0.746, null, null, 0.713, null, null, 0.811, 0.802, 0.811, null]",single-full@0.80@label+mut2,0.05735127047357886,0.024871071433346003,0.1255078659771317,0.17342946044226284,0.5852636500300217,0.033576681643658866,0.8343911045813636,1.0097636410143276,1.203001285070801,0.7175611155291285,21,119.6
09111d7d,905afff7,0_7_8,3_5_6,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]",0.5690000057220459,0.36399999260902405,0.31883333333333336,0.4461666666666667,"[0.714, null, null, 0.135, null, 0.005, 0.977, 0.451, 0.395, null]",0.14833333333333334,0.742,0.8183333333333334,0.6656666666666666,"[0.672, null, null, 0.56, null, 0.607, 0.83, 0.943, 0.84, null]",single-full@0.80@label+mut2,0.06320144269976885,0.012221788643394942,0.07959673441042495,0.12528059505440664,0.701418080741032,0.018281358450972788,0.7595546950901888,1.0102724985665192,1.086659102535024,0.7135184273649782,21,118.7
09111d7d,be2e50e9,0_7_8,3_6_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]",0.5690000057220459,0.5016667246818542,0.2818,0.42300000000000004,"[0.743, null, null, 0.322, null, null, 0.873, 0.117, 0.366, null]",0.1638,0.7493333333333334,0.7263333333333334,0.7723333333333333,"[0.52, null, null, 0.749, null, null, 0.792, 0.776, 0.883, null]",single-full@0.80@label+mut2,0.02033933018436182,0.02043148509727421,0.0642219651907188,0.2628525326147972,0.5924705563888607,0.03968413052398732,0.6334467849515591,1.0494456555285887,1.110675644717969,0.7131901920896672,21,110.7
09111d7d,cb3a86af,0_7_8,1_6_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.5690000057220459,0.5966666340827942,0.3522,0.5718333333333334,"[0.67, 0.582, null, null, null, null, 0.93, 0.338, 0.573, null]",0.2694,0.8806666666666667,0.8273333333333334,0.934,"[0.704, 0.96, null, null, null, null, 0.958, 0.884, 0.894, null]",single-full@0.80@label+mut2,0.01844160965270994,0.09394072785143301,0.21922277340393478,0.3681175790172121,0.28758259246881507,0.012694717605895122,0.8230974475047756,1.0469902217360754,1.2519265772900598,0.7123675794683975,21,112.1
09111d7d,d8bd0bc0,0_7_8,4_5_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.5690000057220459,0.4826667010784149,0.3488,0.4041666666666667,"[0.481, null, null, null, 0.61, 0.687, null, 0.015, 0.617, null]",0.101,0.7264999999999999,0.7206666666666667,0.7323333333333333,"[0.672, null, null, null, 0.733, 0.818, null, 0.646, 0.844, null]",single-full@0.80@label+mut2,0.005269417024581676,0.05240471160492071,0.18996408212246013,0.30362043834183505,0.42161319560472943,0.027128155301472896,0.798823658589799,1.001258068489269,1.2478435341656564,0.7145775959363375,21,110.8
09111d7d,e1762771,0_7_8,1_2_4,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5690000057220459,0.5213333964347839,0.311,0.5316666666666667,"[0.625, 0.485, 0.364, null, 0.698, null, null, 0.454, 0.564, null]",0.23416666666666666,0.8145,0.819,0.81,"[0.68, 0.957, 0.674, null, 0.799, null, null, 0.936, 0.841, null]",single-full@0.80@label+mut2,0.017744939640365606,0.07133986198633109,0.0554983818458464,0.27808442926001353,0.5547349143767291,0.02259747289071429,0.7738621311808181,1.0289091295124708,1.159882603695871,0.7180987565336269,21,104.1
1887bcd2,366f9057,2_7_9,3_5_9,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]",0.5853333473205566,0.5723333358764648,0.254,0.4741666666666667,"[null, null, 0.801, 0.821, null, 0.248, null, 0.307, null, 0.334]",0.1218,0.808,0.873,0.743,"[null, null, 0.869, 0.645, null, 0.629, null, 0.795, null, 0.955]",single-full@0.80@label+mut2,0.001803299272599338,0.015649669332109283,0.12617801282245,0.2898857534406906,0.5168361161244174,0.049647149007733614,0.8129811473789774,0.9901357636848552,1.188372260707242,0.72448384131052,21,103.3
