parent_a,parent_b,labels_a,labels_b,a_per_class,b_per_class,a_per_task,b_per_task,child_joint,child_per_task,child_task_a,child_task_b,child_per_class,merging_fn,population,bn_reset,stop_node,time_s
09111d7d,1887bcd2,0_7_8,2_7_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]",0.5690000057220459,0.5853333473205566,0.3774,0.474,0.41833333333333333,0.5296666666666666,"[0.622, null, 0.87, null, null, null, null, 0.199, 0.434, 0.52]",match_tensors_permute,runs_exp2d/seed0/population,True,63,58.0
09111d7d,366f9057,0_7_8,3_5_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]",0.5690000057220459,0.5723333358764648,0.2485,0.5283333333333333,0.522,0.5346666666666666,"[0.612, null, null, 0.812, null, 0.22, null, 0.532, 0.422, 0.572]",match_tensors_permute,runs_exp2d/seed0/population,True,63,56.5
09111d7d,5ffed8da,0_7_8,6_8_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]",0.5690000057220459,0.7800000309944153,0.4536,0.6495,0.545,0.754,"[0.624, null, null, null, null, null, 0.787, 0.27, 0.741, 0.734]",match_tensors_permute,runs_exp2d/seed0/population,True,63,56.1
09111d7d,88ed44d1,0_7_8,3_6_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]",0.5690000057220459,0.42500004172325134,0.3826,0.4445,0.4493333333333333,0.43966666666666665,"[0.672, null, null, 0.158, null, null, 0.947, 0.214, 0.462, null]",match_tensors_permute,runs_exp2d/seed0/population,True,63,56.1
09111d7d,905afff7,0_7_8,3_5_6,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]",0.5690000057220459,0.36399999260902405,0.3285,0.4331666666666667,0.492,0.37433333333333335,"[0.636, null, null, 0.14, null, 0.006, 0.977, 0.371, 0.469, null]",match_tensors_permute,runs_exp2d/seed0/population,True,63,57.5
09111d7d,be2e50e9,0_7_8,3_6_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]",0.5690000057220459,0.5016667246818542,0.4062,0.5116666666666666,0.49866666666666665,0.5246666666666666,"[0.656, null, null, 0.322, null, null, 0.856, 0.396, 0.444, null]",match_tensors_permute,runs_exp2d/seed0/population,True,63,56.5
09111d7d,cb3a86af,0_7_8,1_6_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.5690000057220459,0.5966666340827942,0.3844,0.538,0.5036666666666667,0.5723333333333334,"[0.638, 0.427, null, null, null, null, 0.932, 0.358, 0.515, null]",match_tensors_permute,runs_exp2d/seed0/population,True,63,56.0
09111d7d,d8bd0bc0,0_7_8,4_5_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.5690000057220459,0.4826667010784149,0.4026,0.4231666666666667,0.39966666666666667,0.44666666666666666,"[0.512, null, null, null, 0.566, 0.659, null, 0.115, 0.572, null]",match_tensors_permute,runs_exp2d/seed0/population,True,63,55.2
09111d7d,e1762771,0_7_8,1_2_4,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5690000057220459,0.5213333964347839,0.30583333333333335,0.48916666666666664,0.5083333333333333,0.47,"[0.615, 0.373, 0.419, null, 0.618, null, null, 0.379, 0.531, null]",match_tensors_permute,runs_exp2d/seed0/population,True,63,55.3
1887bcd2,366f9057,2_7_9,3_5_9,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]",0.5853333473205566,0.5723333358764648,0.337,0.5,0.5056666666666667,0.49433333333333335,"[null, null, 0.893, 0.85, null, 0.186, null, 0.177, null, 0.447]",match_tensors_permute,runs_exp2d/seed0/population,True,63,55.1
