parent_a,parent_b,labels_a,labels_b,a_per_class,b_per_class,a_per_task,b_per_task,child_joint,child_per_task,child_task_a,child_task_b,child_per_class,merging_fn,population,time_s
09111d7d,1887bcd2,0_7_8,2_7_9,"[0.7050000429153442, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5049999952316284, 0.737000048160553, 0.0]","[0.0, 0.0, 0.8160000443458557, 0.0, 0.0, 0.0, 0.0, 0.687000036239624, 0.0, 0.8300000429153442]",0.6489999890327454,0.7776667475700378,0.494,0.7256666666666667,0.6973333333333334,0.754,"[0.711, null, 0.777, null, null, null, null, 0.669, 0.712, 0.816]",match_tensors_permute,runs_exp2k/seed0/population,68.8
09111d7d,366f9057,0_7_8,3_5_9,"[0.7050000429153442, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5049999952316284, 0.737000048160553, 0.0]","[0.0, 0.0, 0.0, 0.5350000262260437, 0.0, 0.6540000438690186, 0.0, 0.0, 0.0, 0.8160000443458557]",0.6489999890327454,0.6683333516120911,0.3531666666666667,0.6513333333333333,0.637,0.6656666666666666,"[0.708, null, null, 0.583, null, 0.612, null, 0.511, 0.692, 0.802]",match_tensors_permute,runs_exp2k/seed0/population,69.1
09111d7d,5ffed8da,0_7_8,6_8_9,"[0.7050000429153442, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5049999952316284, 0.737000048160553, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8870000243186951, 0.0, 0.9500000476837158, 0.5980000495910645]",0.6489999890327454,0.81166672706604,0.5128,0.7683333333333333,0.728,0.8086666666666666,"[0.744, null, null, null, null, null, 0.874, 0.493, 0.947, 0.605]",match_tensors_permute,runs_exp2k/seed0/population,68.8
09111d7d,88ed44d1,0_7_8,3_6_7,"[0.7050000429153442, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5049999952316284, 0.737000048160553, 0.0]","[0.0, 0.0, 0.0, 0.5950000286102295, 0.0, 0.0, 0.8940000534057617, 0.5210000276565552, 0.0, 0.0]",0.6489999890327454,0.6700000762939453,0.4804,0.6211666666666666,0.6206666666666667,0.6216666666666667,"[0.685, null, null, 0.564, null, null, 0.887, 0.414, 0.763, null]",match_tensors_permute,runs_exp2k/seed0/population,68.8
09111d7d,905afff7,0_7_8,3_5_6,"[0.7050000429153442, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5049999952316284, 0.737000048160553, 0.0]","[0.0, 0.0, 0.0, 0.18900001049041748, 0.0, 0.5830000042915344, 0.8990000486373901, 0.0, 0.0, 0.0]",0.6489999890327454,0.5569999814033508,0.4195,0.5836666666666667,0.6326666666666667,0.5346666666666666,"[0.726, null, null, 0.245, null, 0.473, 0.886, 0.465, 0.707, null]",match_tensors_permute,runs_exp2k/seed0/population,69.1
09111d7d,be2e50e9,0_7_8,3_6_7,"[0.7050000429153442, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5049999952316284, 0.737000048160553, 0.0]","[0.0, 0.0, 0.0, 0.49400001764297485, 0.0, 0.0, 0.893000066280365, 0.5440000295639038, 0.0, 0.0]",0.6489999890327454,0.643666684627533,0.4786,0.619,0.6286666666666667,0.6093333333333333,"[0.74, null, null, 0.464, null, null, 0.889, 0.475, 0.671, null]",match_tensors_permute,runs_exp2k/seed0/population,68.8
09111d7d,cb3a86af,0_7_8,1_6_7,"[0.7050000429153442, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5049999952316284, 0.737000048160553, 0.0]","[0.0, 0.8890000581741333, 0.0, 0.0, 0.0, 0.0, 0.9150000214576721, 0.7780000567436218, 0.0, 0.0]",0.6489999890327454,0.8606667518615723,0.5728,0.7916666666666667,0.7346666666666667,0.8486666666666667,"[0.723, 0.887, null, null, null, null, 0.904, 0.755, 0.726, null]",match_tensors_permute,runs_exp2k/seed0/population,68.7
09111d7d,d8bd0bc0,0_7_8,4_5_7,"[0.7050000429153442, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5049999952316284, 0.737000048160553, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.6940000057220459, 0.7790000438690186, 0.0, 0.48900002241134644, 0.0, 0.0]",0.6489999890327454,0.6540000438690186,0.4452,0.6214999999999999,0.6203333333333333,0.6226666666666667,"[0.666, null, null, null, 0.663, 0.743, null, 0.462, 0.733, null]",match_tensors_permute,runs_exp2k/seed0/population,69.0
09111d7d,e1762771,0_7_8,1_2_4,"[0.7050000429153442, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5049999952316284, 0.737000048160553, 0.0]","[0.0, 0.8800000548362732, 0.49000000953674316, 0.0, 0.7440000176429749, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6489999890327454,0.7046666741371155,0.42683333333333334,0.6708333333333334,0.65,0.6916666666666667,"[0.716, 0.875, 0.464, null, 0.736, null, null, 0.527, 0.707, null]",match_tensors_permute,runs_exp2k/seed0/population,69.0
1887bcd2,366f9057,2_7_9,3_5_9,"[0.0, 0.0, 0.8160000443458557, 0.0, 0.0, 0.0, 0.0, 0.687000036239624, 0.0, 0.8300000429153442]","[0.0, 0.0, 0.0, 0.5350000262260437, 0.0, 0.6540000438690186, 0.0, 0.0, 0.0, 0.8160000443458557]",0.7776667475700378,0.6683333516120911,0.488,0.7328333333333333,0.7833333333333333,0.6823333333333333,"[null, null, 0.829, 0.545, null, 0.655, null, 0.674, null, 0.847]",match_tensors_permute,runs_exp2k/seed0/population,68.9
