parent_a,parent_b,labels_a,labels_b,a_per_class,b_per_class,a_per_task,b_per_task,child_joint,child_per_task,child_task_a,child_task_b,child_per_class,merging_fn,time_s
09111d7d,1887bcd2,0_7_8,2_7_9,"[0.8940000534057617, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.940000057220459, 0.9660000205039978, 0.0]","[0.0, 0.0, 0.8770000338554382, 0.0, 0.0, 0.0, 0.0, 0.971000075340271, 0.0, 0.9940000176429749]",0.9333333969116211,0.9473333358764648,0.6202,0.8228333333333333,0.8126666666666666,0.833,"[0.599, null, 0.651, null, null, null, null, 0.898, 0.941, 0.95]",match_tensors_permute,67.9
09111d7d,366f9057,0_7_8,3_5_9,"[0.8940000534057617, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.940000057220459, 0.9660000205039978, 0.0]","[0.0, 0.0, 0.0, 0.7820000648498535, 0.0, 0.9100000262260437, 0.0, 0.0, 0.0, 0.987000048160553]",0.9333333969116211,0.893000066280365,0.4666666666666667,0.7471666666666668,0.7236666666666667,0.7706666666666667,"[0.583, null, null, 0.635, null, 0.721, null, 0.754, 0.834, 0.956]",match_tensors_permute,68.3
09111d7d,5ffed8da,0_7_8,6_8_9,"[0.8940000534057617, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.940000057220459, 0.9660000205039978, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9480000734329224, 0.0, 0.9830000400543213, 0.9320000410079956]",0.9333333969116211,0.9543333649635315,0.6678,0.8531666666666666,0.8426666666666667,0.8636666666666667,"[0.763, null, null, null, null, null, 0.773, 0.85, 0.915, 0.903]",match_tensors_permute,68.4
09111d7d,88ed44d1,0_7_8,3_6_7,"[0.8940000534057617, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.940000057220459, 0.9660000205039978, 0.0]","[0.0, 0.0, 0.0, 0.7760000228881836, 0.0, 0.0, 0.9600000381469727, 0.9510000348091125, 0.0, 0.0]",0.9333333969116211,0.8956666588783264,0.5896,0.8008333333333333,0.8276666666666667,0.774,"[0.63, null, null, 0.596, null, null, 0.804, 0.922, 0.931, null]",match_tensors_permute,67.9
09111d7d,905afff7,0_7_8,3_5_6,"[0.8940000534057617, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.940000057220459, 0.9660000205039978, 0.0]","[0.0, 0.0, 0.0, 0.812000036239624, 0.0, 0.843000054359436, 0.9480000734329224, 0.0, 0.0, 0.0]",0.9333333969116211,0.8676667213439941,0.4736666666666667,0.7513333333333334,0.867,0.6356666666666667,"[0.813, null, null, 0.663, null, 0.631, 0.613, 0.868, 0.92, null]",match_tensors_permute,68.1
09111d7d,be2e50e9,0_7_8,3_6_7,"[0.8940000534057617, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.940000057220459, 0.9660000205039978, 0.0]","[0.0, 0.0, 0.0, 0.8470000624656677, 0.0, 0.0, 0.9450000524520874, 0.9480000734329224, 0.0, 0.0]",0.9333333969116211,0.9133334159851074,0.5682,0.7666666666666666,0.8263333333333334,0.707,"[0.715, null, null, 0.646, null, null, 0.606, 0.869, 0.895, null]",match_tensors_permute,67.9
09111d7d,cb3a86af,0_7_8,1_6_7,"[0.8940000534057617, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.940000057220459, 0.9660000205039978, 0.0]","[0.0, 0.9780000448226929, 0.0, 0.0, 0.0, 0.0, 0.9670000672340393, 0.9530000686645508, 0.0, 0.0]",0.9333333969116211,0.9660000801086426,0.5974,0.8271666666666666,0.829,0.8253333333333334,"[0.694, 0.903, null, null, null, null, 0.704, 0.869, 0.924, null]",match_tensors_permute,67.8
09111d7d,d8bd0bc0,0_7_8,4_5_7,"[0.8940000534057617, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.940000057220459, 0.9660000205039978, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.89000004529953, 0.9160000681877136, 0.0, 0.9540000557899475, 0.0, 0.0]",0.9333333969116211,0.9200000762939453,0.536,0.7491666666666666,0.735,0.7633333333333333,"[0.492, null, null, null, 0.642, 0.83, null, 0.818, 0.895, null]",match_tensors_permute,67.9
09111d7d,e1762771,0_7_8,1_2_4,"[0.8940000534057617, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.940000057220459, 0.9660000205039978, 0.0]","[0.0, 0.9920000433921814, 0.8520000576972961, 0.0, 0.9460000395774841, 0.0, 0.0, 0.0, 0.0, 0.0]",0.9333333969116211,0.9300000667572021,0.48183333333333334,0.7856666666666666,0.833,0.7383333333333333,"[0.732, 0.848, 0.548, null, 0.819, null, null, 0.852, 0.915, null]",match_tensors_permute,68.3
1887bcd2,366f9057,2_7_9,3_5_9,"[0.0, 0.0, 0.8770000338554382, 0.0, 0.0, 0.0, 0.0, 0.971000075340271, 0.0, 0.9940000176429749]","[0.0, 0.0, 0.0, 0.7820000648498535, 0.0, 0.9100000262260437, 0.0, 0.0, 0.0, 0.987000048160553]",0.9473333358764648,0.893000066280365,0.5456,0.7881666666666667,0.8216666666666667,0.7546666666666667,"[null, null, 0.613, 0.487, null, 0.819, null, 0.894, null, 0.958]",match_tensors_permute,68.1
