pair,n_shared,n_union,a_per_task,b_per_task,mean_parent_acc,min_parent_acc,parent_acc_gap,shared_acc_mean,shared_acc_gap,child_per_task,mean_retention,min_retention,retention_shared,retention_disjoint
0_7_8|2_7_9,1,5,0.9333333969116212,0.9473333358764648,0.940333366394043,0.9333333969116212,0.013999938964843639,0.971000075340271,0.03100001811981201,0.8228333333333333,-0.13260004014968874,-0.29500005340576174,-0.07300007534027098,-0.14750003135204318
0_7_8|3_5_9,0,6,0.9333333969116212,0.893000066280365,0.913166731595993,0.893000066280365,0.040333330631256215,,,0.7471666666666668,-0.16600004506111146,-0.31100005340576176,,-0.16600004506111146
0_7_8|6_8_9,1,5,0.9333333969116212,0.9543333649635316,0.9438333809375764,0.9333333969116212,0.0209999680519104,0.9830000400543213,0.017000019550323486,0.8531666666666666,-0.09860005302429198,-0.17500007343292234,-0.06800004005432125,-0.10625005626678466
0_7_8|3_6_7,1,5,0.9333333969116212,0.8956666588783264,0.9145000278949738,0.8956666588783264,0.03766673803329479,0.9510000348091125,0.010999977588653564,0.8008333333333333,-0.13280003395080564,-0.2640000534057617,-0.029000034809112507,-0.15875003373622892
0_7_8|3_5_6,0,6,0.9333333969116212,0.8676667213439941,0.9005000591278076,0.8676667213439941,0.06566667556762706,,,0.7513333333333334,-0.1491667158603668,-0.3350000734329224,,-0.1491667158603668
0_7_8|3_6_7,1,5,0.9333333969116212,0.9133334159851074,0.9233334064483643,0.9133334159851074,0.019999980926513783,0.9480000734329224,0.008000016212463379,0.7666666666666666,-0.1738000524520874,-0.3390000524520874,-0.07900007343292237,-0.19750004720687866
0_7_8|1_6_7,1,5,0.9333333969116212,0.9660000801086426,0.9496667385101318,0.9333333969116212,0.03266668319702137,0.9530000686645508,0.013000011444091797,0.8271666666666666,-0.1328000509262085,-0.26300006723403935,-0.08400006866455079,-0.14500004649162293
0_7_8|4_5_7,1,5,0.9333333969116212,0.9200000762939452,0.9266667366027832,0.9200000762939452,0.013333320617676003,0.9540000557899475,0.013999998569488525,0.7491666666666666,-0.18860004863739016,-0.4020000534057617,-0.13600005578994756,-0.2017500468492508
0_7_8|1_2_4,0,6,0.9333333969116212,0.930000066757202,0.9316667318344116,0.930000066757202,0.0033333301544191674,,,0.7856666666666666,-0.14600004529953003,-0.3040000576972961,,-0.14600004529953003
2_7_9|3_5_9,1,5,0.9473333358764648,0.893000066280365,0.9201667010784149,0.893000066280365,0.054333269596099854,0.9940000176429749,0.006999969482421875,0.7881666666666667,-0.1526000435829163,-0.2950000648498535,-0.03600001764297489,-0.18175005006790163
2_7_9|6_8_9,1,5,0.9473333358764648,0.9543333649635316,0.9508333504199982,0.9473333358764648,0.007000029087066761,0.9940000176429749,0.06199997663497925,0.8313333333333334,-0.12580004806518555,-0.19200007343292236,-0.15000001764297488,-0.11975005567073821
2_7_9|3_6_7,1,5,0.9473333358764648,0.8956666588783264,0.9214999973773956,0.8956666588783264,0.05166667699813843,0.971000075340271,0.020000040531158447,0.819,-0.11580003757476806,-0.17000003385543827,-0.05600007534027096,-0.13075002813339234
2_7_9|3_5_6,0,6,0.9473333358764648,0.8676667213439941,0.9075000286102295,0.8676667213439941,0.0796666145324707,,,0.7988333333333333,-0.10866671514511107,-0.22200003623962405,,-0.10866671514511107
2_7_9|3_6_7,1,5,0.9473333358764648,0.9133334159851074,0.9303333759307861,0.9133334159851074,0.03399991989135742,0.971000075340271,0.023000001907348633,0.8248333333333333,-0.12480004835128786,-0.26300006246566776,-0.03200007534027105,-0.14800004160404207
2_7_9|1_6_7,1,5,0.9473333358764648,0.9660000801086426,0.9566667079925537,0.9473333358764648,0.018666744232177734,0.971000075340271,0.018000006675720215,0.8396666666666667,-0.11420004777908328,-0.18700003385543829,-0.14900007534027104,-0.10550004088878634
2_7_9|4_5_7,1,5,0.9473333358764648,0.9200000762939452,0.9336667060852051,0.9200000762939452,0.027333259582519642,0.971000075340271,0.017000019550323486,0.8273333333333333,-0.11440004806518553,-0.2010000338554382,-0.08300007534027098,-0.12225004124641417
2_7_9|1_2_4,1,5,0.9473333358764648,0.930000066757202,0.9386667013168335,0.930000066757202,0.017333269119262806,0.8770000338554382,0.02499997615814209,0.7905,-0.13660004196166992,-0.2310000338554382,-0.2310000338554382,-0.11300004398822786
3_5_9|6_8_9,1,5,0.893000066280365,0.9543333649635316,0.9236667156219482,0.893000066280365,0.061333298683166615,0.987000048160553,0.05500000715255737,0.728,-0.21920005054473876,-0.2790000734329223,-0.133000048160553,-0.2407500511407852
3_5_9|3_6_7,1,5,0.893000066280365,0.8956666588783264,0.8943333625793457,0.893000066280365,0.0026665925979614258,0.7820000648498535,0.006000041961669922,0.7318333333333333,-0.14880004243850706,-0.23700006484985348,-0.23700006484985348,-0.12675003683567046
3_5_9|3_5_6,2,4,0.893000066280365,0.8676667213439941,0.8803333938121796,0.8676667213439941,0.02533334493637085,0.8610000312328339,0.04849997162818909,0.7421666666666666,-0.14525004601478575,-0.17800002622604372,-0.17250003123283386,-0.11800006079673764
3_5_9|3_6_7,1,5,0.893000066280365,0.9133334159851074,0.9031667411327362,0.893000066280365,0.02033334970474243,0.8470000624656677,0.06499999761581421,0.7373333333333334,-0.17100005254745482,-0.39600005245208736,-0.2050000624656677,-0.16250005006790158
3_5_9|1_6_7,0,6,0.893000066280365,0.9660000801086426,0.9295000731945038,0.893000066280365,0.07300001382827759,,,0.8325,-0.09700005332628886,-0.14900006723403936,,-0.09700005332628886
