steps,shared,B_digits,mode,eta_p,eta_q,A_alone,jA_alone,jB_alone,typed_frac_B,E_A,E_B,E_C,E_E,E_D_plus,E_D_minus,d_A,j_A,d_B,j_B,d_C,j_C,d_E,j_E,d_D_plus,j_D_plus,d_D_minus,j_D_minus,d_sum,j_sum,d_avg,j_avg,d_sym_A1,j_sym_A1,d_sym_Dp0,j_sym_Dp0,d_sym_single1,j_sym_single1,d_sym_single1_Dp7,j_sym_single1_Dp7
800,0,345,code,0.95,0.8,0.9984111785888672,0.7383518218994141,0.5659094452857971,0.7877756202160207,0.17655193604800754,0.10682685003871892,0.42415284558704197,0.05512738038016672,0.16435372704984078,0.07298726089622415,-0.0003177523612976074,0.7008787989616394,0.0003178119659423828,0.7158016562461853,-0.0022243261337280273,0.9502570033073425,0.0006355643272399902,0.7517824172973633,-0.0006355047225952148,0.6377052068710327,-0.0006355047225952148,0.8509368300437927,-0.006037473678588867,0.9820924997329712,-0.0034953951835632324,0.9918752908706665,-0.00381314754486084,0.9917094707489014,-0.05274862051010132,0.9582158923149109,-0.047346651554107666,0.969656765460968,-0.028598666191101074,0.9794395565986633
800,0,345,hybrid_t,0.8,0.8,0.9984111785888672,0.7383518218994141,0.5659094452857971,0.7182668753677984,0.006253299986901536,0.047778847848834106,0.08401304487808052,0.3553943303046355,0.31751973618565216,0.18904074079589625,0.0,0.7381860017776489,0.0,0.7428287267684937,-0.0022243261337280273,0.742994487285614,-0.0006355047225952148,0.7640523910522461,-0.0025420784950256348,0.6479853987693787,-0.00190657377243042,0.974299430847168,-0.020019054412841797,0.9784446954727173,-0.005401968955993652,0.9910462498664856,-0.0050841569900512695,0.9912120699882507,-0.020019054412841797,0.9708174467086792,-0.004130899906158447,0.9902172088623047,-0.006672978401184082,0.9890565276145935
800,1,234,code,0.95,0.8,0.9984111785888672,0.7532594203948975,0.6466238498687744,0.7892464391613752,0.14764137198088614,0.11242918465138797,0.43876326536268134,0.06043521334921494,0.17206214683427315,0.06866881782155627,-0.0003177523612976074,0.7166764140129089,0.0,0.7289355993270874,-0.047346651554107666,0.9340338706970215,-0.0006355047225952148,0.7240708470344543,-0.0025420784950256348,0.609846293926239,-0.0009532570838928223,0.7238762378692627,-0.33587539196014404,0.6758124232292175,-0.002859830856323242,0.9857949614524841,-0.0034953951835632324,0.9861841201782227,-0.041944682598114014,0.9700331091880798,-0.05624401569366455,0.9606927633285522,-0.145535409450531,0.8976454734802246
800,1,234,hybrid_t,0.8,0.8,0.9984111785888672,0.7532594203948975,0.6466238498687744,0.718290863668347,0.010148206955926716,0.04369685899178692,0.12204617015138923,0.3415712361792558,0.31858955257049154,0.16394797515114992,0.0,0.7565674781799316,0.0,0.7565674781799316,0.0003178119659423828,0.8357657194137573,0.0,0.806577205657959,-0.00190657377243042,0.620354175567627,-0.0022243261337280273,0.9373419284820557,-0.2777248024940491,0.7310761213302612,-0.00381314754486084,0.9856003522872925,-0.00571972131729126,0.9848219752311707,-0.04957097768783569,0.9494065046310425,-0.028598666191101074,0.9713952541351318,-0.09374004602432251,0.9188558459281921
800,2,123,code,0.95,0.8,0.9984111785888672,0.8905460238456726,0.8003367781639099,0.7896889062506686,0.13442235180869372,0.11684268864540767,0.40491004603446545,0.06373057681290921,0.22248033593877592,0.0576140007597481,0.0,0.8313687443733215,0.0003178119659423828,0.8939138650894165,-0.009850621223449707,0.908106803894043,0.0,0.8708202838897705,-0.00190657377243042,0.827279269695282,0.0003178119659423828,0.8864565491676331,-0.17667615413665771,0.8049073815345764,-0.0025420784950256348,0.9889342784881592,-0.002859830856323242,0.9891748428344727,-0.01334601640701294,0.9754630327224731,-0.05624401569366455,0.9292758703231812,-0.12805843353271484,0.868174135684967
800,2,123,hybrid_t,0.8,0.8,0.9984111785888672,0.8905460238456726,0.8003367781639099,0.7179119334956275,0.0064187045396650435,0.041021146268760064,0.08773872352879403,0.3336735983498472,0.3827211824616111,0.14842664485132234,0.0,0.8903054594993591,0.0,0.8948760628700256,-0.0006355047225952148,0.8751503229141235,-0.0009532570838928223,0.9285542368888855,-0.0050841569900512695,0.8255953788757324,-0.0006355047225952148,0.9189319014549255,-0.1661900281906128,0.8231897950172424,-0.0034953951835632324,0.988453209400177,-0.00381314754486084,0.9882126450538635,-0.016523659229278564,0.9600673317909241,-0.008579552173614502,0.9624729156494141,-0.06323480606079102,0.9138801693916321
800,3,012,code,0.95,0.8,0.9984111785888672,0.9984111785888672,0.9980934262275696,0.7885773438162401,0.06824328647195539,0.10894205718814748,0.38299829873513097,0.07061276025948275,0.3210155311927984,0.04818806615248517,0.0006355643272399902,0.9990467429161072,0.0,0.9984111785888672,-0.0015887618064880371,0.9968224167823792,-0.0009532570838928223,0.9974579215049744,-0.00190657377243042,0.9965046048164368,0.0003178119659423828,0.9987289905548096,-0.00190657377243042,0.9965046048164368,0.0003178119659423828,0.9987289905548096,0.0003178119659423828,0.9987289905548096,-0.014299333095550537,0.9841118454933167,-0.0009532570838928223,0.9974579215049744,-0.0012710094451904297,0.9971401691436768
800,3,012,hybrid_t,0.8,0.8,0.9984111785888672,0.9984111785888672,0.9980934262275696,0.716032403110363,0.0,0.0018581868993076294,0.0003605683805240907,0.31046516372734356,0.5411858969739007,0.1461301840189241,0.0,0.9984111785888672,0.0,0.9984111785888672,0.0,0.9984111785888672,-0.0003177523612976074,0.9980934262275696,-0.004130899906158447,0.9942802786827087,-0.0009532570838928223,0.9974579215049744,-0.0031775832176208496,0.9952335953712463,0.0,0.9984111785888672,0.0,0.9984111785888672,-0.016841411590576172,0.981569766998291,-0.0006355047225952148,0.997775673866272,-0.0012710094451904297,0.9971401691436768
3200,0,345,code,0.95,0.8,0.9980934262275696,0.6043773889541626,0.48532581329345703,0.7883653363173145,0.19060355344977023,0.11571700920699866,0.4062368771758382,0.05331203947300022,0.16539093677399097,0.06873958392040175,-0.0025420784950256348,0.5824904441833496,0.0,0.5800033211708069,-0.0015888214111328125,0.873818576335907,-0.0003177523612976074,0.5644171833992004,-0.0022243261337280273,0.5834853053092957,-0.0003177523612976074,0.7287348508834839,-0.04099142551422119,0.964019238948822,-0.0034953951835632324,0.9910462498664856,-0.010486185550689697,0.9870668053627014,-0.028598666191101074,0.9452826976776123,-0.24372416734695435,0.8489471077919006,-0.1960597038269043,0.8867517709732056
3200,0,345,hybrid_t,0.8,0.8,0.9980934262275696,0.6043773889541626,0.48532581329345703,0.7163456802566734,0.006348737775749489,0.04364355834749203,0.08066861319940816,0.4007537885735629,0.297423823519643,0.17116147858414438,0.0,0.6047089695930481,0.0003177523612976074,0.6168131232261658,-0.02923417091369629,0.7051898241043091,-0.0009532570838928223,0.6547836065292358,-0.006355226039886475,0.5655778646469116,-0.0015888214111328125,0.8398275375366211,-0.12996500730514526,0.9187530875205994,-0.010168373584747314,0.9880616664886475,-0.010168373584747314,0.9878958463668823,-0.057515084743499756,0.9500911831855774,-0.07658088207244873,0.9527441263198853,-0.06228154897689819,0.9618636965751648
